study_accession	study_title	study_description
PRJNA1253095	METAGENOMIC INVESTIGATION OF INSECTIVOROUS SYNANTHROPIC BATS INTESTINAL MICROBIOTA	Bats serve as important ecological reservoirs for diverse microbial communities, including viruses with zoonotic potential and antibiotic-resistance genes. This study presents a metagenomic analysis of the intestinal microbiota of two insectivorous bat species, Nyctalus noctula and Vespertilio murinus, collected from the Rostov Bat Rehabilitation Center in Southern Russia. Using whole metagenome shotgun sequencing, we investigated the taxonomic composition, functional profiles, and resistome features of the bat gut microbiota. Taxonomic profiling revealed an unexpectedly high abundance of densoviruses, particularly sequences closely related to Parus major densovirus, across multiple samples. Metagenome-assembled densovirus genomes exhibited high genomic similarity but also structural variations, including gene inversions and duplications. Phylogenomic analysis showed these sequences formed a distinct clade with densoviruses previously found in mealworms, suggesting a dietary origin, and with strains isolated from birds and shown to infect vertebrate cells, raising the possibility of bats serving as potential hosts. Functional annotation revealed microbial pathways involved in cell wall biosynthesis, energy metabolism, and biofilm formation. Antibiotic resistance screening identified numerous resistance genes, including efflux pumps and beta-lactamases, while virulence factor analysis revealed conserved iron acquisition and stress response genes across samples. These findings highlight the ecological complexity of bat-associated microbiota and viromes, suggesting that synanthropic bats may contribute not only to the circulation but also to the emergence of insect-targeting viruses, antimicrobial resistance, and potentially novel viral interactions within urban environments that warrant further investigation.
PRJNA1254096	Metagenomic sequencing on the gut microbiota of Three Indigenous Fish Species from the Kizil River, Xinjiang	Gut microbiota of three indigenous fishes (Schizothorax biddulphi, Diptychus maculates Steindachner, Triplophysa yarkandensis) in Xinjiang Kizil River was investigated by metagenomics to understand and compare theirs taxonomic composition and functional capabilities.
PRJNA1257558	Gut metagenomic raw data of 68 Tibetan antelope Metagenome	Feces metagenome of Tibetan antelope
PRJNA1260157	Metagenomic sequencing of mouse intestinal flora	To investigate the changes of intestinal flora after Echinococcus multilocularis infection
PRJNA1261602	The gut metagenome of experimental autoimmune uveitis mice	This study aims to investigate the effect of PD-L1 knockout on gut microbiota in an experimental autoimmune uveitis (EAU) model. EAU was induced via immunization with interphotoreceptor retinoid-binding protein peptide 651-670 (IRBP651-670) in either wild-type or PD-L1 knockout C57BL/6J female mice. Sham adjuvant was administered to WT or PD-L1 KO mice as healthy controls. The characteristics of gut microbiota were analyzed using metagenomic sequencing.
PRJNA1263030	Metagenomic data of rumen fluid from sheep	This study investigated the changes of rumen microbiota in sheep with AFB1 interference, and how nutrient alleviated AFB1-induced rumen microbiota disorder in sheep.
PRJNA1264679	pig_cecum_content_metagenome Raw sequence reads	This project includes raw metagenomic sequence data obtained from pig cecal content. The study aims to characterize microbial communities and functional pathways in the hindgut.
PRJNA1264687	Characterization of DNA viruses in hindgut contents of Protaetia brevitarsis larvae	Characterization of DNA viruses in 10 hindgut contents of Protaetia brevitarsis larvae by shotgun metagenomic sequencing
PRJNA1268041	Effects of Lactobacillus plantarum and Saccharomyces cerevisiae, alone or in combination, on growth performance, antioxidant status, immune response, and intestinal health in weaned piglets	This study investigated the effects of dietary supplementation with Lactobacillus plantarum (LP), Saccharomyces cerevisiae (SC), and their combination (MIX) on growth performance, antioxidant capacity, immune parameters, and gut microbiota composition in weaned piglets.Currently, most studies focus solely on the individual effects of Lactobacillus plantarum or Saccharomyces cerevisiae on animal growth performance and health, lacking systematic evaluation of their combined application. This study will compare the individual and combined supplementation of L. plantarum and S. cerevisiae in weaned piglets, aiming to provide theoretical foundations for developing novel fermented feed additives and advance antibiotic-free farming technologies.
PRJNA1268758	Thermal manipulation impact on microbiome in chickens	This study aimed to evaluate whether thermal manipulation (TM) during embryonic development can enhance heat tolerance in broiler chickens by influencing their gut microbiota, body weight, and temperature regulation under chronic heat stress. With rising global temperatures posing significant challenges to poultry health and productivity, the research is highly relevant to improving animal welfare and performance in heat-prone environments. The findings highlight TM as a promising strategy to modulate the cecal microbiota and support growth under heat stress, offering practical implications for sustainable poultry production in a warming climate.
PRJNA1269114	IsoLoop Model	isoLoop model for human gut host-microbiota interface
PRJNA1269239	Gut metagenome of duck Raw sequence reads	To investigate the gut microbial community at both taxonomy and function levels, and to link the microbiome to phenotypes.
PRJNA1273701	Rattus norvegicus Raw sequence reads	In this study, we collected large and small intestinal samples from 18 Sprague-Dawley rats before and after infection with Toxoplasma gondii for metagenomic sequencing.
PRJNA1280790	the microbes in sea bass pond	microbial community diversity in sea bass pond
PRJNA1282711	Swine microbiome samples treated with unprocessed and processed soybean meal	Effects of different protein sources on gut microbiome composition and relationship with performance in pigs in regular nursery and enterotoxigenic Escherichia coli (ETEC) challenged conditions
PRJNA1283350	Metagenome	The composition and function of the intestinal microbiota in broiler chickens were studied through metagenomic sequencing.
PRJNA1289129	Multiscale Omics Analysis of Cafeteria Diet-Induced Microbiota Dysbiosis during Development Using 16S rDNA and Shotgun Sequencing Approaches	Multiscale Omics Analysis of Cafeteria Diet-Induced Microbiota Dysbiosis using Shotgun Sequencing Approaches
PRJNA1293833	Multi-kingdom fecal microbiome associated with growth performance of indigenous beef calves	Gut microbiome and gut virome analysis based on deep shotgun metagenomic sequencing for cattle with differential growth performance, highlight the potential of fecal microbiome, especially viruses through interacting dynamically with their prokaryotic hosts, associated with growth rates of beef calves
PRJNA1293880	Host-Microbe Coadaptation Enables Cellulose Digestion in Bamboo-Specialized Giant Pandas	Giant pandas (Ailuropoda melanoleuca) retain a phylogenetically carnivorous digestive system (e.g., short intestine, rapid transit time) yet exclusively consume bamboo - a fiber - rich diet requiring specialized cellulose digestion. Their gut microbiome lacks signature cellulolytic taxa typical of herbivores and demonstrates functional profiles aligning with carnivores. This paradox remains unresolved: how does the panda gut ecosystem achieve fiber decomposition without typically cellulolytic microbes? In this study, Integrated culturomics and PacBio HiFi metagenomics were applied to generate the expanded genome repository Pbac v2 (466 MAGs/genomes). Species - level enterotyping revealed three distinct clusters dominated by keystone taxa: Escherichia coli (ET - Ecoli), Streptococcus alactolyticus (ET - StrepA), and Clostridium SGBP116 (ET - Clos). Functional validation involved: (1) In vitro fiber degradation assays confirming E. coli - driven cellulose decomposition (2) Transcriptomics and untargeted metabolomics revealing O2 (original O2) - dependent upregulation of E. coli cellulases (3) Microbiome single - cell Transcriptomics (in situ) demonstrating Escherichia dominance in cellulase expression within the panda's gut. We demonstrate the contribution of Escherichia coli to fiber degradation within the giant panda gut microbiota, while establishing invaluable genomic resources - including high - quality genomes and microbial single - cell transcriptomes - for elucidating functional adaptations in this specialized symbiosis.
